Date,BTC,DOGE,ETH,LTC
1/1/2016,434.3340149,0.000154392,206062,3.508980036
1/2/2016,433.4379883,0.000150743,255504,3.502160072
1/3/2016,430.0109863,0.000145759,407632,3.483069897
1/4/2016,433.0910034,0.000143645,346245,3.495389938
1/5/2016,431.9599915,0.000137109,219833,3.469670057
1/6/2016,429.105011,0.000134536,308791,3.453560114
1/7/2016,458.0480042,0.000139256,647462,3.604140043
1/8/2016,453.230011,0.00015829,545600,3.568880081
1/9/2016,447.6109924,0.000179806,226281,3.560570002
1/10/2016,447.9909973,0.000166788,390888,3.536720037
1/11/2016,448.428009,0.000170692,1011920,3.556619883
1/12/2016,435.6900024,0.000179768,2898760,3.49368
1/13/2016,432.3710022,0.000177094,1005910,3.476020098
1/14/2016,430.3059998,0.000174839,751961,3.465990067
1/15/2016,364.3309937,0.000149139,3910550,2.996779919
1/16/2016,387.5360107,0.000155027,2462630,3.08694005
1/17/2016,382.2990112,0.000152153,1171150,3.026190042
1/18/2016,387.1679993,0.000151174,4278930,3.04895997
1/19/2016,380.1489868,0.000148104,2446740,3.017440081
1/20/2016,420.230011,0.00016804,2933220,3.388530016
1/21/2016,410.2619934,0.000163254,1614960,3.220779896
1/22/2016,382.4920044,0.000168246,1567240,3.076570034
1/23/2016,387.4909973,0.00017233,7370980,3.103480101
1/24/2016,402.9710083,0.000193186,9669770,3.180999994
1/25/2016,391.7260132,0.000211721,10739300,3.127279997
1/26/2016,392.1530151,0.000356273,13939200,3.154819965
1/27/2016,394.9719849,0.000455076,6961080,3.287450075
1/28/2016,380.2890015,0.000344136,4903850,3.120160103
1/29/2016,379.473999,0.000316405,6662340,3.1113801
1/30/2016,378.2550049,0.000257987,3725080,3.080800056
1/31/2016,368.7669983,0.000277032,5847500,3.052160025
2/1/2016,373.0559998,0.000270234,3994100,3.07723999
2/2/2016,374.447998,0.000262285,3451270,3.075870037
2/3/2016,369.9490051,0.000265091,3987750,3.047529936
2/4/2016,389.5939941,0.000287009,3552320,3.162770033
2/5/2016,386.5490112,0.000305498,2636700,3.137409925
2/6/2016,376.5220032,0.000306131,1921240,3.098999977
2/7/2016,376.6199951,0.000285056,7007060,3.085959911
2/8/2016,373.446991,0.000286896,9725690,3.062160015
2/9/2016,376.0289917,0.000291881,17954000,3.081549883
2/10/2016,381.6489868,0.00029808,28640400,3.095249891
2/11/2016,379.6539917,0.000289788,26408200,3.075619936
2/12/2016,384.2630005,0.000300687,23360800,3.11187005
2/13/2016,391.8599854,0.000295003,24218800,3.129689932
2/14/2016,407.230011,0.000300999,11226500,3.210589886
2/15/2016,400.1849976,0.000298126,13934200,3.182509899
2/16/2016,407.4880066,0.000291608,15889100,3.209009886
2/17/2016,416.321991,0.000278482,15451000,3.241029978
2/18/2016,422.3729858,0.000277825,17054000,3.251430035
2/19/2016,420.7850037,0.00029683,7666320,3.252789974
2/20/2016,437.1640015,0.000291063,8631090,3.457989931
2/21/2016,438.7980042,0.000285497,6413550,3.464270115
2/22/2016,437.7479858,0.000282672,15056200,3.483629942
2/23/2016,420.7359924,0.000279807,13380600,3.396929979
2/24/2016,424.9549866,0.000277561,11426500,3.374870062
2/25/2016,424.5440063,0.000269377,21471800,3.36552
2/26/2016,432.1520081,0.000259282,9526860,3.416790009
2/27/2016,432.5190125,0.000254927,8903210,3.412879944
2/28/2016,433.5039978,0.000254411,9851660,3.441859961
2/29/2016,437.696991,0.000249722,7648020,3.44611001
